Restaurant,Sales,City,State,YOY_Sales,state_id,details
Evergreens,2400000.0,Seattle,Washington,130.5%,47,future
Clean Juice,4400000.0,Charlotte,North Carolina,121.9%,33,future
Slapfish,2100000.0,Huntington Beach,California,81.0%,5,future
Clean Eatz,2500000.0,Wilmington,North Carolina,79.7%,33,future
Pokeworks,4900000.0,Irvine,California,77.1%,5,future
Playa Bowls,3900000.0,Belmar,New Jersey,62.9%,30,future
The Simple Greek,2400000.0,Blue Bell,Pennsylvania,52.5%,38,future
Melt Shop,2000000.0,New York,New York,39.6%,32,future
Creamistry,2400000.0,Yorba Linda,California,36.8%,5,future
Joella's Hot Chicken,2900000.0,Louisville,Kentucky,35.5%,17,future
Eggs Up Grill,3000000.0,Spartanburg,South Carolina,35.4%,40,future
Dog Haus,3900000.0,Pasadena,California,34.5%,5,future
Teriyaki Madness,4100000.0,Denver,Colorado,34.1%,6,future
Bluestone Lane,4800000.0,New York,New York,33.0%,32,future
Original ChopShop,2100000.0,Plano,Texas,32.5%,43,future
Rapid Fired Pizza,2400000.0,Kettering,Ohio,32.2%,35,future
Ike's Love & Sandwiches,4400000.0,San Francisco,California,30.8%,5,future
Vitality Bowls,3700000.0,San Ramon,California,30.1%,5,future
Hawkers Asian Street Fare,2200000.0,Orlando,Florida,30.0%,9,future
Maple Street Biscuit Co.,3900000.0,Orange Park,Florida,28.9%,9,future
Bulla Gastrobar,3200000.0,Doral,Florida,28.2%,9,future
Duck Donuts,4400000.0,Mechanicsburg,Pennsylvania,28.0%,38,future
The Little Beet,2300000.0,New York,New York,26.5%,32,future
Joe & The Juice,4700000.0,New York,New York,25.9%,32,future
By Chloe,3700000.0,New York,New York,25.6%,32,future
Sugarfire Smokehouse,3900000.0,Olivette,Missouri,25.4%,25,future
Bibibop Asian Grill,4400000.0,Columbus,Ohio,24.6%,35,future
Bubbakoo's Burritos,2800000.0,Wall Township,New Jersey,24.3%,30,future
Dos Toros Taqueria,2800000.0,New York,New York,24.0%,32,future
The Pizza Press,2700000.0,Anaheim,California,23.7%,5,future
The Lost Cajun,2000000.0,Frisco,Texas,23.0%,43,future
Just Salad,4200000.0,New York,New York,22.7%,32,future
Jeni's Splendid Ice Creams,4200000.0,Columbus,Ohio,22.4%,35,future
Boqueria,2700000.0,New York,New York,22.0%,32,future
Quickway Japanese Hibachi,2200000.0,Fairfax,Virginia,21.4%,46,future
Surcheros,2200000.0,Douglas,Georgia,21.3%,10,future
Famous Toastery,4000000.0,Charlotte,North Carolina,21.2%,33,future
Culinary Dropout,2000000.0,Scottsdale,Arizona,20.8%,3,future
Condado Tacos,3800000.0,Columbus,Ohio,19.9%,35,future
The Flying Biscuit Cafe,2900000.0,Atlanta,Georgia,19.5%,10,future
Blue Sushi Sake Grill,4900000.0,Omaha,Nebraska,19.5%,27,future
The Human Bean,4700000.0,Medford,Oregon,19.0%,37,future
Spitz Mediterranean Street Food,2800000.0,Los Angeles,California,18.8%,5,future
Tacos 4 Life,2500000.0,Conway,Arkansas,18.4%,4,future
Pita Mediterranean Street Food,3800000.0,Fairburn,Georgia,17.8%,10,future
LA Crawfish,4800000.0,McAllen,Texas,17.6%,43,future
&pizza,4500000.0,Washington,D.C.,17.1%,0,future
Super Duper Burgers,3900000.0,San Francisco,California,16.9%,5,future
StoneFire Grill,3100000.0,Agoura Hills,California,16.0%,5,future
Gus's World Famous Fried Chicken,4400000.0,Memphis,Tennessee,14.4%,42,future
Carmine's (Times Square),39080335.0,New York,New York,0%,32,independent
The Boathouse Orlando,35218364.0,Orlando,Florida,0%,9,independent
Old Ebbitt Grill,29104017.0,Washington,D.C.,0%,0,independent
LAVO Italian Restaurant & Nightclub,26916180.0,New York,New York,0%,32,independent
Bryant Park Grill & Cafe,26900000.0,New York,New York,0%,32,independent
Gibsons Bar & Steakhouse,25409952.0,Chicago,Illinois,0%,13,independent
Top of the World at the STRAT ,25233543.0,Las Vegas,Nevada,0%,28,independent
Maple & Ash,24837595.0,Chicago,Illinois,0%,13,independent
Balthazar,24547800.0,New York,New York,0%,32,independent
Smith & Wollensky,24501000.0,New York,New York,0%,32,independent
Angus Barn,24268160.0,Raleigh,North Carolina,0%,33,independent
Prime 112,23800000.0,Miami Beach,Florida,0%,9,independent
"Joe's Seafood, Prime Steak & Stone Crab",23660000.0,Washington,D.C.,0%,0,independent
Junior's (Times Square),23640652.0,New York,New York,0%,32,independent
The Hamilton,23138062.0,Washington,D.C.,0%,0,independent
"Joe's Seafood, Prime Steak & Stone Crab",22981600.0,Chicago,Illinois,0%,13,independent
"Joe's Seafood, Prime Steak & Stone Crab",22859400.0,Las Vegas,Nevada,0%,28,independent
Gibsons Italia,22749232.0,Chicago,Illinois,0%,13,independent
Komodo,22500000.0,Miami,Florida,0%,9,independent
Buddakan,22395577.0,New York,New York,0%,32,independent
Bazaar Meat by Jose Andres,22181607.0,Las Vegas,Nevada,0%,28,independent
SW Steakhouse,21523650.0,Las Vegas,Nevada,0%,28,independent
St. Elmo Steak House,21422141.0,Indianapolis,Indiana,0%,14,independent
RPM Steak,20853300.0,Chicago,Illinois,0%,13,independent
Mon Ami Gabi,20120210.0,Las Vegas,Nevada,0%,28,independent
Gibsons Bar & Steakhouse,19831818.0,Oak Brook,Illinois,0%,13,independent
Paddlefish,19829500.0,Orlando,Florida,0%,9,independent
Taste of Texas,19530159.0,Houston,Texas,0%,43,independent
