,State,Number of Participating Agencies,Population Covered,Total Offenses,Assault Offenses,Homicide Offenses,Human Trafficking,Kidnapping/ Abduction,Sex Offenses
0,Total,9880.0,177522400.0,2235280.0,2063412.0,11815.0,1576.0,31216.0,127261.0
1,Alabama,131.0,715130.0,4384.0,4214.0,24.0,0.0,52.0,94.0
2,Arizona,22.0,1769207.0,18440.0,16756.0,86.0,5.0,302.0,1291.0
3,Arkansas,281.0,2818360.0,63893.0,60103.0,340.0,2.0,685.0,2763.0
4,Colorado,225.0,5754151.0,64221.0,55631.0,350.0,30.0,2403.0,5807.0
5,Connecticut,105.0,3488526.0,27833.0,25994.0,134.0,10.0,249.0,1446.0
6,Delaware,62.0,986809.0,16154.0,15255.0,87.0,6.0,215.0,591.0
8,Georgia,401.0,7938166.0,99961.0,91136.0,605.0,215.0,2040.0,5965.0
9,Hawaii,1.0,966438.0,9376.0,8358.0,25.0,10.0,323.0,660.0
10,Idaho,107.0,1819575.0,16972.0,14725.0,48.0,4.0,241.0,1954.0
11,Illinois,7.0,240617.0,5688.0,5350.0,33.0,0.0,117.0,188.0
12,Indiana,160.0,4675214.0,55303.0,49876.0,448.0,39.0,1275.0,3665.0
13,Iowa,251.0,3083186.0,30872.0,28466.0,124.0,0.0,220.0,2062.0
14,Kansas,356.0,2586059.0,42607.0,39051.0,95.0,0.0,1239.0,2222.0
15,Kentucky,423.0,4472499.0,47887.0,43377.0,366.0,19.0,1166.0,2959.0
16,Louisiana,70.0,1739794.0,22995.0,21860.0,130.0,2.0,228.0,775.0
17,Maine,68.0,841254.0,8338.0,7599.0,20.0,3.0,21.0,695.0
18,Maryland,3.0,1792745.0,8176.0,7239.0,100.0,5.0,20.0,812.0
19,Massachusetts,342.0,6815611.0,68909.0,64802.0,167.0,28.0,487.0,3425.0
20,Michigan,627.0,9767448.0,155110.0,143029.0,848.0,49.0,818.0,10366.0
21,Minnesota,401.0,5584006.0,32600.0,28884.0,188.0,50.0,464.0,3014.0
22,Mississippi,83.0,1256005.0,16843.0,16016.0,91.0,0.0,78.0,658.0
23,Missouri,321.0,4778935.0,58458.0,54524.0,402.0,36.0,513.0,2983.0
24,Montana,100.0,1075088.0,13630.0,11845.0,61.0,4.0,272.0,1448.0
25,Nebraska,121.0,1034668.0,9247.0,8192.0,25.0,1.0,138.0,891.0
26,Nevada,28.0,3059000.0,25667.0,23483.0,93.0,111.0,419.0,1561.0
27,New Hampshire,193.0,1335848.0,14913.0,13096.0,24.0,7.0,253.0,1533.0
28,New Mexico,17.0,1114118.0,25958.0,23577.0,126.0,4.0,853.0,1398.0
29,New York,56.0,1870894.0,11872.0,11135.0,22.0,0.0,193.0,522.0
30,North Carolina,377.0,9618194.0,128459.0,120176.0,809.0,56.0,1900.0,5518.0
31,North Dakota,106.0,765309.0,10769.0,9620.0,34.0,11.0,135.0,969.0
32,Ohio,560.0,9805446.0,148955.0,139203.0,747.0,16.0,1908.0,7081.0
33,Oklahoma,404.0,2875975.0,36790.0,33454.0,206.0,12.0,459.0,2659.0
34,Oregon,207.0,4000770.0,38223.0,34389.0,171.0,24.0,445.0,3194.0
35,Pennsylvania,22.0,253932.0,264.0,238.0,3.0,0.0,5.0,18.0
36,Rhode Island,47.0,1056100.0,9246.0,8508.0,32.0,3.0,52.0,651.0
37,South Carolina,398.0,5139301.0,94085.0,88748.0,575.0,23.0,1085.0,3654.0
38,South Dakota,121.0,848707.0,13416.0,12063.0,52.0,2.0,171.0,1128.0
39,Tennessee,463.0,6886834.0,144313.0,136180.0,747.0,40.0,2028.0,5318.0
40,Texas,806.0,26328281.0,357801.0,337069.0,1792.0,399.0,2758.0,15783.0
41,Utah,114.0,3103855.0,33720.0,28617.0,110.0,66.0,891.0,4036.0
42,Vermont,88.0,623347.0,3988.0,3569.0,18.0,1.0,93.0,307.0
43,Virginia,416.0,8589304.0,98675.0,91564.0,588.0,60.0,1642.0,4821.0
44,Washington,232.0,7663709.0,78988.0,72069.0,334.0,78.0,1264.0,5243.0
45,West Virginia,251.0,1562004.0,14608.0,13128.0,121.0,59.0,137.0,1163.0
46,Wisconsin,282.0,4821673.0,44398.0,39165.0,409.0,85.0,938.0,3801.0
47,Wyoming,23.0,200308.0,1213.0,1085.0,2.0,1.0,18.0,107.0
