Rank,Restaurant,Sales,YOY_Sales,Units,YOY_Units,Headquarters,Segment_Category,City,State
1,McDonald's,40412,4.9%,13846,-0.5%,"Chicago, Illinois",Quick Service & Burger,Chicago,Illinois
2,Starbucks,21380,8.6%,15049,3.0%,"Seattle, Washington",Quick Service & Coffee Cafe,Seattle,Washington
3,Chick-fil-A,11320,13.0%,2470,5.0%,"College Park, Georgia",Quick Service & Chicken,College Park,Georgia
4,Taco Bell,11293,9.0%,6766,2.7%,"Irvine, California",Quick Service & Mexican,Irvine,California
5,Burger King,10204,2.7%,7346,0.2%,"Miami-Dade County, Florida",Quick Service & Burger,Miami-Dade County,Florida
6,Subway,10200,-2.0%,23801,-4.0%,"Milford, Connecticut",Quick Service & Sandwich,Milford,Connecticut
7,Wendy's,9762,4.2%,5852,0.7%,"Dublin, Ohio",Quick Service & Burger,Dublin,Ohio
9,Domino's,7044,6.9%,6126,4.3%,"Ann Arbor, Michigan",Quick Service & Pizza,Ann Arbor,Michigan
10,Panera Bread,5890,4.0%,2160,3.2%,"Sunset Hills, Missouri",Fast Casual & Bakery Cafe,Sunset Hills,Missouri
11,Pizza Hut,5558,0.6%,7306,-2.4%,"Plano, Texas",Quick Service & Pizza,Plano,Texas
12,Chipotle Mexican Grill,5509,14.8%,2584,5.3%,"Newport Beach, California",Fast Casual & Mexican,Newport Beach,California
13,Sonic Drive-In,4687,4.6%,3526,-2.1%,"Oklahoma City, Oklahoma",Quick Service & Burger,Oklahoma City,Oklahoma
14,KFC,4546,2.5%,4065,-0.2%,"Louisville, Kentucky",Quick Service & Chicken,Louisville,Kentucky
15,Olive Garden,4287,5.0%,866,1.3%,"Orlando, Florida",Casual Dining & Italian/Pizza,Orlando,Florida
16,Applebee's,4085,-3.0%,1665,-1.7%,"Glendale, California",Casual Dining & Varied Menu,Glendale,California
17,Panda Express,3946,12.0%,2209,4.9%,"Rosemead, California",Fast Casual & Asian/Noodle,Rosemead,California
18,Arby's,3884,1.9%,3359,0.9%,"Sandy Springs, Georgia",Quick Service & Sandwich,Sandy Springs,Georgia
20,Little Caesars,3811,2.7%,4237,-0.6%,"Detroit, Michigan",Quick Service & Pizza,Detroit,Michigan
21,Dairy Queen,3760,2.9%,4381,-0.6%,"Edina, Minnesota",Quick Service & Frozen Desserts,Edina,Minnesota
22,Buffalo Wild Wings,3669,-0.1%,1206,-0.2%,"Sandy Springs, Georgia",Casual Dining & Sports Bar,Sandy Springs,Georgia
24,Jack in the Box,3504,1.1%,2243,0.3%,"San Diego, California",Quick Service & Burger,San Diego,California
25,IHOP,3266,2.0%,1710,0.3%,"Glendale, California",Family Dining & Family Style,Glendale,California
26,Texas Roadhouse,3016,11.0%,553,3.8%,"Louisville, Kentucky",Casual Dining & Steak,Louisville,Kentucky
27,Denny's,2691,1.1%,1558,-1.5%,"Spartanburg, South Carolina",Family Dining & Family Style,Spartanburg,South Carolina
29,Outback Steakhouse,2635,0.9%,724,-1.2%,"Tampa, Florida",Casual Dining & Steak,Tampa,Florida
30,Whataburger,2556,5.8%,830,0.6%,"San Antonio, Texas",Quick Service & Burger,San Antonio,Texas
31,Red Lobster,2490,1.6%,679,0.1%,"San Francisco, California",Casual Dining & Seafood,San Francisco,California
32,Cracker Barrel,2482,1.8%,660,0.8%,"Lebanon, Tennessee",Family Dining & Family Style,Lebanon,Tennessee
33,The Cheesecake Factory,2180,2.5%,206,2.5%,"Calabasas, California",Casual Dining & Varied Menu,Calabasas,California
36,Zaxby's,1886,6.0%,910,1.3%,"Athens, Georgia",Fast Casual & Chicken,Athens,Georgia
37,LongHorn Steakhouse,1867,6.3%,530,1.9%,"Orlando, Florida",Casual Dining & Steak,Orlando,Florida
38,Culver's,1795,13.9%,732,6.7%,"Prairie du Sac, Wisconsin",Quick Service & Burger,Prairie du Sac,Wisconsin
