Restaurant,Sales,City,YOY_Sales,state_id
Evergreens,2400000.0,Seattle,130.5%,47
Clean Juice,4400000.0,Charlotte,121.9%,33
Slapfish,2100000.0,Huntington Beach,81.0%,5
Clean Eatz,2500000.0,Wilmington,79.7%,33
Pokeworks,4900000.0,Irvine,77.1%,5
Playa Bowls,3900000.0,Belmar,62.9%,30
The Simple Greek,2400000.0,Blue Bell,52.5%,38
Melt Shop,2000000.0,New York,39.6%,32
Creamistry,2400000.0,Yorba Linda,36.8%,5
Joella's Hot Chicken,2900000.0,Louisville,35.5%,17
Eggs Up Grill,3000000.0,Spartanburg,35.4%,40
Dog Haus,3900000.0,Pasadena,34.5%,5
Teriyaki Madness,4100000.0,Denver,34.1%,6
Bluestone Lane,4800000.0,New York,33.0%,32
Original ChopShop,2100000.0,Plano,32.5%,43
Rapid Fired Pizza,2400000.0,Kettering,32.2%,35
Ike's Love & Sandwiches,4400000.0,San Francisco,30.8%,5
Vitality Bowls,3700000.0,San Ramon,30.1%,5
Hawkers Asian Street Fare,2200000.0,Orlando,30.0%,9
Maple Street Biscuit Co.,3900000.0,Orange Park,28.9%,9
Bulla Gastrobar,3200000.0,Doral,28.2%,9
Duck Donuts,4400000.0,Mechanicsburg,28.0%,38
The Little Beet,2300000.0,New York,26.5%,32
Joe & The Juice,4700000.0,New York,25.9%,32
By Chloe,3700000.0,New York,25.6%,32
Sugarfire Smokehouse,3900000.0,Olivette,25.4%,25
Bibibop Asian Grill,4400000.0,Columbus,24.6%,35
Bubbakoo's Burritos,2800000.0,Wall Township,24.3%,30
Dos Toros Taqueria,2800000.0,New York,24.0%,32
The Pizza Press,2700000.0,Anaheim,23.7%,5
The Lost Cajun,2000000.0,Frisco,23.0%,43
Just Salad,4200000.0,New York,22.7%,32
Jeni's Splendid Ice Creams,4200000.0,Columbus,22.4%,35
Boqueria,2700000.0,New York,22.0%,32
Quickway Japanese Hibachi,2200000.0,Fairfax,21.4%,46
Surcheros,2200000.0,Douglas,21.3%,10
Famous Toastery,4000000.0,Charlotte,21.2%,33
Culinary Dropout,2000000.0,Scottsdale,20.8%,3
Condado Tacos,3800000.0,Columbus,19.9%,35
The Flying Biscuit Cafe,2900000.0,Atlanta,19.5%,10
Blue Sushi Sake Grill,4900000.0,Omaha,19.5%,27
The Human Bean,4700000.0,Medford,19.0%,37
Spitz Mediterranean Street Food,2800000.0,Los Angeles,18.8%,5
Tacos 4 Life,2500000.0,Conway,18.4%,4
Pita Mediterranean Street Food,3800000.0,Fairburn,17.8%,10
LA Crawfish,4800000.0,McAllen,17.6%,43
&pizza,4500000.0,Washington,17.1%,0
Super Duper Burgers,3900000.0,San Francisco,16.9%,5
StoneFire Grill,3100000.0,Agoura Hills,16.0%,5
Gus's World Famous Fried Chicken,4400000.0,Memphis,14.4%,42
Carmine's (Times Square),39080335.0,New York,0%,32
The Boathouse Orlando,35218364.0,Orlando,0%,9
